Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C_3,C1,100nF,SMD-0805,1,~
2,,C_4,C2,10uF,SMD-0805,1,~
3,,ZENER_2,D1,"BZV55C-3,6V",Diode-MiniMELF_Standard,1,~
4,,CONN_2_6,J5,CONN_2,Pin_Header_Straight_1x02,1,
5,,CONN_2_4,J6,CONN_2,Pin_Header_Straight_1x02,1,
6,,CONN_2_5,J7,CONN_2,Pin_Header_Straight_1x02,1,
7,,JUMP_3X2_3,J1,JUMP_3X2,Pin_Header_Straight_2x03,1,
8,,JUMP_3X2_4,J4,JUMP_3X2,Pin_Header_Straight_2x03,1,
9,,JUMP_5X2_2,J2,JUMP_5X2,Pin_Header_Straight_2x05,1,
10,,JUMP_7X2_2,J3,JUMP_7X2,Pin_Header_Straight_2x07,1,~
11,,R_14,R3,0R,SMD-0805,1,~
12,,R_10,R1,10k,SMD-0805,1,~
13,,R_9,R2,10k,SMD-0805,1,~
14,,R_8,R4,10k,SMD-0805,1,~
15,,R_11,R6,10k,SMD-0805,1,~
16,,R_12,R7,10k,SMD-0805,1,~
17,,R_13,R5,-,SMD-0805,1,~
18,,SC18IS602B_2,U1,SC18IS602B,TSSOP-16,1,
